"mzn","version","dzn","solver","timeout","n","mode","learning","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"toy.mzn","Gini","toy_31_32.dzn","Chuffed",1200000,31,"LB","True","4918","False","1199953","65489967","47","396364641","4","426","65489967","23720026","46","False"
"toy.mzn","Gini","toy_10_13.dzn","Chuffed",1200000,10,"Simp","True","2437","False","1199932","158356554","213","670551061","4","52","158356554","3323973","212","False"
"toy.mzn","Gini","toy_8_10.dzn","Chuffed",1200000,8,"LB","True","691","True","990","116231","209","529491","4","38","116231","12059","208","False"
"toy.mzn","Gini","toy_8_12.dzn","Chuffed",1200000,8,"LB-TL","True","664","True","25040","2577978","282","12412709","4","133","2577978","165603","281","False"
"toy.mzn","Gini","toy_4_6.dzn","Chuffed",1200000,4,"Simp","True","852","True","130","4363","133","30428","4","12","4363","3215","132","False"
"toy.mzn","Spread","toy_8_8.dzn","Chuffed",1200000,8,"LB-TL","True","9818","True","220260","23587817","711","179523683","4","342","23587817","17792934","710","False"
"toy.mzn","Spread","toy_3_5.dzn","Chuffed",1200000,3,"Simp","True","22","True","100","48","4","330","4","6","48","13","4","False"
"toy.mzn","Gini","toy_20_23.dzn","Chuffed",1200000,20,"LB","True","3644","False","1199939","61100951","327","273088463","4","392","61100951","3719112","326","False"
"toy.mzn","Gini","toy_32_32.dzn","Chuffed",1200000,32,"Simp","True","2193","False","1199950","31847461","125","2155873069","4","657","31847461","996314063","124","False"
"toy.mzn","Gini","toy_12_12.dzn","Chuffed",1200000,12,"LB-TL","True","4112","False","1199932","TIMEOUT/ERROR","TIMEOUT/ERROR","605284354","4","110","115902973","5560302","133","False"
"toy.mzn","Spread","toy_18_18.dzn","Chuffed",1200000,18,"LB-TL","True","1747836","False","1199935","84153080","2304","765801453","4","32233","84153080","175228245","2303","False"
"toy.mzn","Gini","toy_31_35.dzn","Chuffed",1200000,31,"LB-TL","True","4458","False","1199954","45589941","194","378174721","4","361","45589941","50409068","193","False"
"toy.mzn","Gini","toy_10_10.dzn","Chuffed",1200000,10,"Simp","True","1285","False","1199931","107086559","126","449979383","4","57","107086559","2324980","125","False"
"toy.mzn","Gini","toy_39_41.dzn","Chuffed",1200000,39,"LB-TL","True","4596","False","1199942","44769947","154","229800245","4","562","44769947","5273077","153","False"
